"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1263","Login validation: empty_username_empty_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1759","test_navigation_to_products_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","933","test_remove_item_after_adding_to_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","661","Login validation: registered_username_unregistered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1010","test_navigation_to_checkout_complete_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","1263","test_navigation_to_products_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1315","test_navigation_back_to_products_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1343","test_back_to_products_from_checkout_overview_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1689","test_navigation_back_to_products_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","757","test_navigation_to_cart_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","686","Login validation: unregistered_username_registered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","691","Sort products by: NAME_ZA","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","866","test_invalid_fill_checkout_info_form[Empty form-chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","887","test_navigation_to_checkout_info_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","980","test_invalid_fill_checkout_info_form[Empty first name-firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","790","test_navigation_to_item_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","728","test_navigation_to_checkout_complete_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","859","test_add_item_to_cart[chromium]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1828","Login with valid username and password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1176","test_back_to_cart_from_checkout_info_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","598","Sort products by: NAME_AZ","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","3255","test_e2e[firefox]","tests","2026-06-25","passed","2026-06-25","TestE2E","test_e2e","",""
"","1711","test_remove_random_products_from_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","1457","test_add_item_to_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1271","Login validation: unregistered_user","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","828","Sort products by: PRICE_HIGH_LOW","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1181","test_checkout_overview_displays_correct_products_total_price[chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","850","test_invalid_fill_checkout_info_form[Empty postal code-chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1574","test_checkout_overview_displays_correct_products_total_price[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","823","test_navigation_to_cart_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","618","test_navigation_to_checkout_info_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1183","test_successful_fill_checkout_info_form[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1855","test_back_to_products_from_checkout_overview_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","981","test_successful_fill_checkout_info_form[chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutInfoPage","test_checkout_info_page","",""
"","690","Login validation: empty_username_valid_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","2479","test_remove_all_products_from_cart[firefox]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","1827","test_navigation_to_checkout_overview_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1221","Login validation: registered_username_unregistered_password","tests","2026-06-25","passed","2026-06-25","TestAuthorization","test_login_page","",""
"","1089","test_remove_random_products_from_cart[chromium]","tests","2026-06-25","passed","2026-06-25","TestCartPage","test_cart_page","",""
"","570","Sort products by: NAME_AZ","tests","2026-06-25","passed","2026-06-25","TestProductsPage","test_products_page","",""
"","1164","test_navigation_to_item_page[firefox]","tests","2026-06-25","passed","2026-06-25","TestItemPage","test_item_page","",""
"","1092","test_back_to_products_from_checkout_complete_page[chromium]","tests","2026-06-25","passed","2026-06-25","TestCheckoutCompletePage","test_checkout_complete_page","",""
