"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","571","test_navigation_to_checkout_complete_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","705","Sort products by: NAME_ZA","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","550","Login validation: empty_username_valid_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","867","test_back_to_cart_from_checkout_info_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","922","test_invalid_fill_checkout_info_form[Empty postal code-firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","982","test_add_random_products_to_cart[chromium]","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","1073","test_add_item_to_cart[firefox]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","811","test_invalid_fill_checkout_info_form[Empty first name-firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1879","test_add_all_product_to_cart[firefox]","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","1502","test_navigation_back_to_products_page_from_cart_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","2032","test_e2e[chromium]","tests","2026-06-24","passed","2026-06-24","TestE2E","test_e2e","",""
"","1606","test_back_to_products_from_checkout_complete_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","647","Login validation: unregistered_username_registered_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","524","test_navigation_to_checkout_info_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","632","test_invalid_fill_checkout_info_form[Empty last name-chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1019","Login with valid username and password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","625","Login validation: unregistered_user","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","541","Login validation: valid_username_empty_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","1573","test_remove_all_products_from_cart[chromium]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","1209","Login validation: empty_username_valid_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","639","test_invalid_fill_checkout_info_form[Empty first name-chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","961","test_navigation_back_to_products_page_from_cart_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","1270","test_remove_item_after_adding_to_cart[firefox]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","567","test_navigation_to_cart_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","495","Login validation: registered_username_unregistered_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","722","test_invalid_fill_checkout_info_form[Empty postal code-chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1933","Login with valid username and password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","1594","test_add_random_products_to_cart[firefox]","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","1219","test_navigation_to_checkout_overview_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1505","test_added_products_is_displayed_on_checkout_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","762","test_navigation_to_cart_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","1102","Login validation: unregistered_user","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","1713","test_navigation_back_to_products_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","1381","test_add_all_product_to_cart[chromium]","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","479","Sort products by: PRICE_HIGH_LOW","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","2096","test_navigation_to_products_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","818","test_navigation_to_item_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","1058","test_navigation_back_to_products_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","1394","test_checkout_overview_displays_correct_products_total_price[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1109","Login validation: registered_username_unregistered_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","985","test_navigation_to_checkout_complete_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","404","Sort products by: NAME_AZ","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","1994","test_remove_random_products_from_cart[firefox]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","1220","test_back_to_products_from_checkout_overview_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","981","test_checkout_overview_displays_correct_products_total_price[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1061","test_navigation_to_products_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","1055","test_back_to_products_from_checkout_complete_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","618","Sort products by: PRICE_LOW_HIGH","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","821","test_invalid_fill_checkout_info_form[Empty last name-firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1132","test_successful_fill_checkout_info_form[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","680","test_invalid_fill_checkout_info_form[Empty form-chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","646","Login validation: empty_username_empty_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","695","test_navigation_to_checkout_overview_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","856","test_invalid_fill_checkout_info_form[Empty form-firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1120","Login validation: valid_username_empty_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","563","Sort products by: PRICE_LOW_HIGH","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","753","test_remove_item_after_adding_to_cart[chromium]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","636","Sort products by: NAME_AZ","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","2312","test_added_products_is_displayed_on_checkout_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","622","test_navigation_to_item_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
"","847","test_navigation_to_checkout_info_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","3256","test_e2e[firefox]","tests","2026-06-24","passed","2026-06-24","TestE2E","test_e2e","",""
"","1202","test_remove_random_products_from_cart[chromium]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","752","test_successful_fill_checkout_info_form[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1906","test_back_to_products_from_checkout_overview_page[firefox]","tests","2026-06-24","passed","2026-06-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1176","Login validation: unregistered_username_registered_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","415","Sort products by: NAME_ZA","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","712","Sort products by: PRICE_HIGH_LOW","tests","2026-06-24","passed","2026-06-24","TestProductsPage","test_products_page","",""
"","2322","test_remove_all_products_from_cart[firefox]","tests","2026-06-24","passed","2026-06-24","TestCartPage","test_cart_page","",""
"","553","test_back_to_cart_from_checkout_info_page[chromium]","tests","2026-06-24","passed","2026-06-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1182","Login validation: empty_username_empty_password","tests","2026-06-24","passed","2026-06-24","TestAuthorization","test_login_page","",""
"","805","test_add_item_to_cart[chromium]","tests","2026-06-24","passed","2026-06-24","TestItemPage","test_item_page","",""
