"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1872","test_remove_random_products_from_cart[firefox]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","782","test_invalid_fill_checkout_info_form[Empty first name-firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","991","test_navigation_back_to_products_page_from_cart_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","886","test_navigation_to_checkout_complete_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","553","test_navigation_to_checkout_complete_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","1197","test_navigation_back_to_products_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","2038","Login with valid username and password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","1452","test_add_all_product_to_cart[chromium]","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1126","Login with valid username and password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","650","test_invalid_fill_checkout_info_form[Empty form-chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","666","test_invalid_fill_checkout_info_form[Empty last name-chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1007","test_navigation_to_item_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","836","test_navigation_to_cart_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","939","test_navigation_to_products_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","498","Sort products by: PRICE_LOW_HIGH","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1142","test_back_to_products_from_checkout_complete_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","1140","Login validation: unregistered_user","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","2396","test_added_products_is_displayed_on_checkout_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1233","Login validation: registered_username_unregistered_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","725","test_navigation_to_checkout_overview_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","865","test_remove_item_after_adding_to_cart[chromium]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","1037","test_checkout_overview_displays_correct_products_total_price[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","721","test_successful_fill_checkout_info_form[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","728","test_invalid_fill_checkout_info_form[Empty postal code-firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","646","test_navigation_to_checkout_info_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","507","test_navigation_to_cart_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","1570","test_checkout_overview_displays_correct_products_total_price[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1248","Login validation: valid_username_empty_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","1735","test_back_to_products_from_checkout_overview_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","775","test_add_item_to_cart[chromium]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","698","Sort products by: PRICE_HIGH_LOW","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","719","Sort products by: PRICE_LOW_HIGH","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","785","test_invalid_fill_checkout_info_form[Empty last name-firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","2201","test_e2e[chromium]","tests","2026-07-24","passed","2026-07-24","TestE2E","test_e2e","",""
"","2586","test_remove_all_products_from_cart[firefox]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","1070","Login validation: empty_username_empty_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","1316","test_navigation_to_checkout_overview_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","585","test_back_to_cart_from_checkout_info_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1252","test_remove_item_after_adding_to_cart[firefox]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","1667","test_navigation_back_to_products_page_from_cart_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","1950","test_remove_all_products_from_cart[chromium]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","786","test_navigation_to_item_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","2140","test_add_all_product_to_cart[firefox]","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1164","test_add_random_products_to_cart[chromium]","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1786","test_navigation_back_to_products_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","639","test_invalid_fill_checkout_info_form[Empty postal code-chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","936","test_invalid_fill_checkout_info_form[Empty form-firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","762","Sort products by: NAME_ZA","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","583","Sort products by: NAME_AZ","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","509","Login validation: empty_username_valid_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","1335","test_back_to_products_from_checkout_overview_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1295","test_add_item_to_cart[firefox]","tests","2026-07-24","passed","2026-07-24","TestItemPage","test_item_page","",""
"","524","Login validation: registered_username_unregistered_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","882","test_back_to_cart_from_checkout_info_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1784","test_add_random_products_to_cart[firefox]","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1218","Login validation: unregistered_username_registered_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","876","test_navigation_to_checkout_info_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","659","Sort products by: NAME_ZA","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","500","Login validation: unregistered_username_registered_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","533","test_invalid_fill_checkout_info_form[Empty first name-chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","521","Login validation: unregistered_user","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","479","Sort products by: NAME_AZ","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1733","test_added_products_is_displayed_on_checkout_page[chromium]","tests","2026-07-24","passed","2026-07-24","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","557","Login validation: valid_username_empty_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","1751","test_back_to_products_from_checkout_complete_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","3276","test_e2e[firefox]","tests","2026-07-24","passed","2026-07-24","TestE2E","test_e2e","",""
"","477","Sort products by: PRICE_HIGH_LOW","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","575","Login validation: empty_username_empty_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
"","1229","test_remove_random_products_from_cart[chromium]","tests","2026-07-24","passed","2026-07-24","TestCartPage","test_cart_page","",""
"","1821","test_navigation_to_products_page[firefox]","tests","2026-07-24","passed","2026-07-24","TestProductsPage","test_products_page","",""
"","1090","test_successful_fill_checkout_info_form[firefox]","tests","2026-07-24","passed","2026-07-24","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1109","Login validation: empty_username_valid_password","tests","2026-07-24","passed","2026-07-24","TestAuthorization","test_login_page","",""
